"ID","MOTHER","FATHER"
571,4424,590
572,4376,383
573,4376,383
735,4376,383
738,256,4230
739,256,4230
740,256,4230
741,416,4435
742,416,4435
744,427,4304
745,427,22
746,76,145
747,76,145
748,670,4274
749,253,417
750,253,417
751,32,4264
752,32,4229
753,32,4229
754,32,4229
755,346,4264
756,346,4264
757,346,4264
758,346,4383
759,4273,4429
760,4273,4429
761,4273,145
762,723,145
764,595,4422
765,309,4326
766,45,166
767,45,166
768,4213,46
769,4213,46
770,4213,4503
771,586,460
772,586,460
773,586,460
774,586,4422
775,444,354
776,442,4304
777,442,4304
778,4468,4467
779,4497,4265
780,28,4325
781,28,4325
783,601,4153
784,601,55
785,4213,104
786,4213,104
787,4213,104
789,469,46
791,123,4303
792,123,4477
793,38,4403
794,38,4403
795,38,4403
796,649,626
797,649,626
798,601,22
799,627,4464
800,627,4464
802,4424,287
803,4424,287
804,469,370
805,4,104
806,353,422
807,4213,104
808,4213,104
809,4213,104
810,4213,104
811,91,115
813,704,4503
814,704,4503
815,206,663
816,206,663
817,206,663
818,4290,4275
819,4290,4275
820,4290,4275
822,4447,4477
823,4447,4477
824,4447,4477
825,4447,4477
826,723,44
827,723,44
828,723,44
829,723,44
830,4217,4435
831,4217,4435
832,4217,4435
833,4217,4435
834,298,363
835,298,363
836,298,363
837,298,363
838,284,4275
839,284,4275
841,41,574
842,41,574
843,41,574
844,419,590
845,419,590
846,419,590
847,419,590
849,371,602
850,371,602
851,371,602
852,256,129
853,256,129
854,256,129
857,122,4417
858,122,115
859,122,132
860,704,4503
861,704,4503
862,595,356
863,595,356
865,595,356
866,595,356
867,431,412
868,431,412
869,431,448
870,4277,412
871,615,4463
872,615,145
873,615,4463
874,615,4463
875,646,4413
876,646,4413
877,646,4413
878,646,4413
879,471,421
880,471,421
881,471,421
882,471,421
883,4273,4429
885,309,4326
886,309,4435
887,309,4326
888,309,4435
889,4497,4265
890,4497,4265
891,4497,4265
892,4497,4303
893,4497,4265
894,604,456
895,604,456
896,604,456
897,346,4264
898,346,4264
899,346,4264
900,442,4304
901,442,4304
902,442,4304
903,442,4304
904,427,22
905,427,22
906,427,22
907,427,22
908,427,22
909,427,22
910,416,4418
911,416,4418
912,416,4418
913,416,4418
915,670,4274
916,670,4274
917,670,4274
918,428,370
919,428,370
920,428,370
921,428,370
922,428,370
923,428,370
924,605,44
925,60,24
926,60,24
927,60,24
928,60,24
929,60,24
930,4376,4247
931,4376,4247
932,4376,4247
933,4376,383
934,4376,383
935,4376,383
936,4217,4435
937,4217,4435
938,4217,4435
939,4217,4435
940,4217,4435
941,284,4464
942,284,4464
943,284,4464
944,615,287
945,615,287
946,615,287
947,615,287
948,615,145
949,76,145
950,76,145
951,76,145
952,76,145
953,605,178
954,605,178
955,605,178
956,605,178
957,605,178
958,4382,114
959,4382,114
960,4382,114
961,4501,4417
962,4501,4417
963,4501,4417
964,122,132
965,122,4417
966,122,132
967,122,132
968,122,132
969,298,457
970,298,457
971,298,457
972,298,457
973,431,305
974,431,356
975,431,356
976,704,4503
977,704,4503
978,704,4503
979,604,4463
980,604,4463
981,604,4463
982,604,4463
983,604,4463
984,595,285
985,595,725
986,595,725
987,595,725
988,428,4325
989,428,4325
990,428,4435
991,428,4325
992,309,251
993,309,4326
994,309,4326
995,309,4326
996,309,4435
997,471,421
998,471,421
999,471,421
1000,471,421
1001,723,44
1002,723,44
1003,723,44
1004,723,44
1005,4497,4265
1006,4497,4265
1007,4497,4265
1008,4497,4265
1009,45,166
1010,45,166
1011,45,166
1012,45,166
1013,427,22
1014,427,22
1015,427,22
1016,427,22
1017,427,22
1018,346,129
1019,346,4264
1020,346,4264
1021,442,4304
1022,442,4304
1023,442,4304
1024,442,4304
1025,91,4503
1026,91,4503
1027,91,4503
1028,91,4503
1029,253,417
1030,253,417
1031,253,417
1032,60,24
