Year,BirdID,BirdID_Year,Annual_Number_Broods,Annual_Number_Eggs,Annual_Hatchlings,Annual_Fledgelings_Genetic,AnnFledgeRaised,Age,Survival_CurrentYear,Genetic_Recruits,eti,sti,fti,pti,Sex
2006,2246,2246Y2006,1,4,2,1,2,1,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2006,2352,2352Y2006,1,4,4,3,3,1,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2007,2453,2453Y2007,4,20,15,10,10,2,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2006,2527,2527Y2006,1,0,4,4,4,1,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2006,2542,2542Y2006,2,4,0,0,0,1,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,2542,2542Y2007,3,12,7,4,4,2,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2006,2605,2605Y2006,1,4,2,2,1,1,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,2605,2605Y2007,3,12,8,4,5,2,1,0,1,0.00881001,-0.003319714,0.005490296,1
2008,2605,2605Y2008,2,9,9,8,8,3,1,4,5,0.014492754,0.043478261,0.057971014,1
2009,2605,2605Y2009,3,11,5,3,4,4,0,4,4,-0.012443439,0.052790347,0.040346908,1
2006,2651,2651Y2006,1,5,1,1,0,1,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,2651,2651Y2007,3,13,6,3,5,2,1,2,3,0.00881001,0.019407559,0.028217569,1
2008,2651,2651Y2008,2,7,5,5,5,3,0,3,3,-0.028985507,0,-0.028985507,1
2006,2661,2661Y2006,2,9,8,5,4,1,0,1,1,-0.002290076,0.003405755,0.001115678,1
2007,2693,2693Y2007,3,14,10,6,8,2,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2007,2768,2768Y2007,3,12,8,4,4,2,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2006,2833,2833Y2006,1,0,4,3,3,1,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2006,2904,2904Y2006,2,8,6,6,5,1,0,2,2,-0.002290076,0.011098062,0.008807986,1
2006,2906,2906Y2006,3,11,4,2,1,1,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2006,2924,2924Y2006,1,0,3,3,3,1,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2006,2944,2944Y2006,1,5,3,2,3,1,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,2944,2944Y2007,3,13,13,7,7,2,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2006,2948,2948Y2006,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
2006,2968,2968Y2006,1,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,1
2006,2970,2970Y2006,1,5,5,2,2,1,0,2,2,-0.002290076,0.011098062,0.008807986,1
2006,3052,3052Y2006,1,4,4,4,4,2,0,1,1,-0.002290076,0.003405755,0.001115678,1
2008,3088,3088Y2008,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,1
2007,3285,3285Y2007,4,18,11,7,7,1,1,0,1,0.00881001,-0.003319714,0.005490296,1
2008,3285,3285Y2008,3,13,12,10,10,2,1,3,4,0.014492754,0,0.014492754,1
2009,3285,3285Y2009,3,6,8,8,8,3,1,2,3,0.007164404,0.013574661,0.020739065,1
2007,3311,3311Y2007,1,5,5,1,1,1,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2007,3359,3359Y2007,1,5,5,4,4,1,1,0,1,0.00881001,-0.003319714,0.005490296,1
2008,3359,3359Y2008,3,14,10,5,5,2,1,2,3,0.014492754,-0.043478261,-0.028985507,1
2009,3359,3359Y2009,3,15,14,10,10,3,1,1,2,0.007164404,-0.006033183,0.001131222,1
2010,3359,3359Y2010,3,1,10,8,8,4,1,7,8,0.005926251,0.065408253,0.071334504,1
2011,3359,3359Y2011,3,1,8,6,5,5,0,1,1,-0.002055498,0.00303186,0.000976362,1
2007,3370,3370Y2007,1,3,3,2,2,1,1,0,1,0.00881001,-0.003319714,0.005490296,1
2009,3370,3370Y2009,3,11,8,4,4,3,1,0,1,0.007164404,-0.025641026,-0.018476621,1
2010,3370,3370Y2010,4,4,9,2,2,4,0,1,1,-0.008999122,-0.024143986,-0.033143108,1
2007,3430,3430Y2007,3,15,13,7,6,2,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2007,3442,3442Y2007,3,15,12,8,5,1,1,0,1,0.00881001,-0.003319714,0.005490296,1
2009,3442,3442Y2009,2,8,7,7,7,3,0,3,3,-0.012443439,0.033182504,0.020739065,1
2007,3445,3445Y2007,1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
2009,3445,3445Y2009,2,10,7,5,6,3,1,0,1,0.007164404,-0.025641026,-0.018476621,1
2010,3445,3445Y2010,1,1,3,1,1,4,0,1,1,-0.008999122,-0.024143986,-0.033143108,1
2007,3450,3450Y2007,2,11,8,7,7,1,1,0,1,0.00881001,-0.003319714,0.005490296,1
2008,3450,3450Y2008,1,5,4,4,4,2,1,3,4,0.014492754,0,0.014492754,1
2009,3450,3450Y2009,4,18,16,6,6,3,1,1,2,0.007164404,-0.006033183,0.001131222,1
2010,3450,3450Y2010,3,6,9,6,6,4,1,6,7,0.005926251,0.05048288,0.056409131,1
2011,3450,3450Y2011,3,0,10,8,8,5,0,2,2,-0.002055498,0.010226105,0.008170606,1
2007,3460,3460Y2007,4,18,16,10,11,1,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
