"ID","Female_total_EPO_clutches","BroodName","Cohort","SocialDadID","FWPO","FEPO","FTO","FPercentEP","F_EPP_brood","F_total_Brood_number","F_total_Partner_number","Number_Broods_with_Partner","F_Percent_clutch_EP","Sex","Age"
431,5,"C051",2003,448,1,2,3,0.666666666666667,1,8,8,1,0.625,"0",1
431,5,"C102",2003,356,2,1,3,0.333333333333333,1,8,8,7,0.625,"0",1
431,5,"D039",2004,356,3,0,3,0,0,8,8,7,0.625,"0",2
431,5,"D100",2004,356,3,0,3,0,0,8,8,7,0.625,"0",2
431,5,"D163",2004,356,1,3,4,0.75,1,8,8,7,0.625,"0",2
431,5,"E036",2005,356,2,1,3,0.333333333333333,1,8,8,7,0.625,"0",3
431,5,"E133",2005,356,3,2,5,0.4,1,8,8,7,0.625,"0",3
431,5,"E224",2005,356,1,0,1,0,0,8,8,7,0.625,"0",3
438,2,"C082",2003,11,3,0,3,0,0,6,6,6,0.333333333333333,"0",1
438,2,"C128",2003,11,1,0,1,0,0,6,6,6,0.333333333333333,"0",1
438,2,"D007",2004,11,1,0,1,0,0,6,6,6,0.333333333333333,"0",2
438,2,"D075",2004,11,3,1,4,0.25,1,6,6,6,0.333333333333333,"0",2
438,2,"D151",2004,11,3,1,4,0.25,1,6,6,6,0.333333333333333,"0",2
438,2,"E027",2005,11,5,0,5,0,0,6,6,6,0.333333333333333,"0",3
442,2,"C019",2003,4304,2,0,2,0,0,10,10,3,0.2,"0",1
442,2,"C060",2003,4304,4,0,4,0,0,10,10,3,0.2,"0",1
442,2,"C114",2003,4304,4,0,4,0,0,10,10,3,0.2,"0",1
442,2,"D028",2004,457,3,2,5,0.4,1,10,10,7,0.2,"0",2
442,2,"D083",2004,457,4,0,4,0,0,10,10,7,0.2,"0",2
442,2,"D145",2004,457,3,1,4,0.25,1,10,10,7,0.2,"0",2
442,2,"E034",2005,457,2,0,2,0,0,10,10,7,0.2,"0",3
442,2,"E110",2005,457,5,0,5,0,0,10,10,7,0.2,"0",3
442,2,"E162",2005,457,4,0,4,0,0,10,10,7,0.2,"0",3
442,2,"E239",2005,457,4,0,4,0,0,10,10,7,0.2,"0",3
444,0,"C018",2003,354,1,0,1,0,0,1,1,1,0,"0",1
469,0,"C025",2003,46,1,0,1,0,0,2,2,1,0,"0",1
469,0,"C122",2003,115,4,0,4,0,0,2,2,1,0,"0",1
471,2,"C054",2003,421,4,0,4,0,0,9,9,2,0.222222222222222,"0",1
471,2,"C108",2003,421,4,0,4,0,0,9,9,2,0.222222222222222,"0",1
471,2,"C127",2003,661,3,0,3,0,0,9,9,7,0.222222222222222,"0",1
471,2,"D005",2004,661,1,1,2,0.5,1,9,9,7,0.222222222222222,"0",2
